_id,% agr
Aruba,0.111111111111111
Afghanistan,0.580675795729559
Angola,0.468356461057191
Albania,0.43843065693430705
Andorra,0.427659574468085
Arab World,0.373833958220016
United Arab Emirates,0.04752392344497611
Argentina,0.538902835176801
Armenia,0.609413417632596
American Samoa,0.245
Antigua and Barbuda,0.204545454545455
Australia,0.518828996524478
Austria,0.33658306184980197
Azerbaijan,0.5767034456058849
Burundi,0.7137850467289719
Belgium,0.447721268163805
Benin,0.30507272082298703
Burkina Faso,0.441520467836257
Bangladesh,0.7099177998002609
Bulgaria,0.465364775239499
Bahrain,0.11286089238845101
"Bahamas, The",0.014985014985015
Bosnia and Herzegovina,0.41875
Belarus,0.438541153277477
Belize,0.0688294607628233
Bermuda,0.06
Bolivia,0.346312194221361
Brazil,0.327181645677148
Barbados,0.348837209302326
Brunei Darussalam,0.025426944971537
Bhutan,0.13642206889314498
Botswana,0.45631958781077403
Central African Republic,0.0815435487495586
Canada,0.0695755544338765
Central Europe and the Baltics,0.47694764145646096
Switzerland,0.388349023180484
Channel Islands,0.478947368421053
Chile,0.211732649031918
China,0.5480809922145979
Cote d'Ivoire,0.647798742138365
Cameroon,0.20519980537750399
"Congo, Dem. Rep.",0.113649897443815
"Congo, Rep.",0.309692532942899
Colombia,0.383082469580892
Comoros,0.714669532509404
Cabo Verde,0.193548387096774
Costa Rica,0.356247551899726
Caribbean small states,0.0619883907620106
Cuba,0.607027433295753
Cayman Islands,0.1125
Cyprus,0.12391774891774901
Czech Republic,0.548161574313827
Germany,0.479100324181656
Djibouti,0.734081104400345
Dominica,0.333333333333333
Denmark,0.6189017204807921
Dominican Republic,0.496170565100393
Algeria,0.17371333562857402
East Asia & Pacific (excluding high income),0.47784620038569303
Early-demographic dividend,0.41383999768764196
East Asia & Pacific,0.48299898515198897
Europe & Central Asia (excluding high income),0.280927804125907
Europe & Central Asia,0.294925293362841
Ecuador,0.30188838782412597
"Egypt, Arab Rep.",0.0368777939625295
Euro area,0.45023459346095895
Eritrea,0.751683168316832
Spain,0.550888982220356
Estonia,0.223826374144845
Ethiopia,0.35683
European Union,0.443436252105564
Fragile and conflict affected situations,0.327086503448975
Finland,0.0754162553471537
Fiji,0.232621784345922
France,0.528279247639972
Faroe Islands,0.021489971346704898
"Micronesia, Fed. Sts.",0.314285714285714
Gabon,0.20025614157643498
United Kingdom,0.711941470673335
Georgia,0.356885882860843
Ghana,0.6864727080952799
Guinea,0.5819632101579031
"Gambia, The",0.607707509881423
Guinea-Bissau,0.579658605974395
Equatorial Guinea,0.104812834224599
Greece,0.635686578743212
Grenada,0.235294117647059
Greenland,0.00574735046899744
Guatemala,0.36973497573721503
Guam,0.333333333333333
Guyana,0.085242570485141
High income,0.36205425587698004
"Hong Kong SAR, China",0.052380952380952396
Honduras,0.288676378586111
Heavily indebted poor countries (HIPC),0.386772027136458
Croatia,0.238348820586133
Haiti,0.678519593613933
Hungary,0.590191096873964
IBRD only,0.363038469574137
IDA & IBRD total,0.379337246101909
IDA total,0.42232912360822505
IDA blend,0.527922647709225
Indonesia,0.306916100399101
IDA only,0.39155325220715903
Isle of Man,0.761052631578947
India,0.603974182611942
Ireland,0.663086079256786
"Iran, Islamic Rep.",0.285735160490189
Iraq,0.189261374102045
Iceland,0.18693266832917702
Israel,0.233133086876155
Italy,0.487108179778337
Jamaica,0.40997229916897504
Jordan,0.112897048884884
Japan,0.12599094774379402
Kazakhstan,0.804392339889617
Kenya,0.480022490072741
Kyrgyz Republic,0.5532794577685091
Cambodia,0.309030138227963
Kiribati,0.419753086419753
St. Kitts and Nevis,0.21923076923076898
